ID	description	GeneRatio	BgRatio	pValue	FDR	qvalue	geneID	size	DB	enrichmentRatio
GO:0045638	GO:0045638	negative regulation of myeloid cell differentiation	8/557	92/17913	0.00786812843660421	0.0347953776157048	0.0257800591985938	TLR4/C1QC/MAFB/INPP5D/LILRB4/UBASH3B/PTK2B/GPR171	8	geneontology_Biological_Process	0.0143626570915619
GO:0070168	GO:0070168	negative regulation of biomineral tissue development	4/557	26/17913	0.00802650483751242	0.0354569754680057	0.0262702401641908	CCR1/TGFB1/SRGN/PTK2B	4	geneontology_Biological_Process	0.00718132854578097
GO:0030336	GO:0030336	negative regulation of cell migration	19/557	332/17913	0.00814191162992257	0.0359275183495055	0.0266188676018498	AIF1/PTGER4/ADORA3/MEF2C/SPRED1/CD200R1/CD300A/ARHGDIB/CX3CR1/TGFB1/MITF/CCL2/CORO1C/STAP1/VASH1/PTPRJ/APOE/HMOX1/CXCL13	19	geneontology_Biological_Process	0.0341113105924596
GO:0030218	GO:0030218	erythrocyte differentiation	9/557	112/17913	0.0082340176097089	0.0362943284388695	0.026890638925124	NCKAP1L/SPI1/IKZF1/MAFB/HCLS1/INPP5D/B2M/JAK2/ETS1	9	geneontology_Biological_Process	0.0161579892280072
GO:1903428	GO:1903428	positive regulation of reactive oxygen species biosynthetic process	6/557	57/17913	0.00833702463046176	0.0366628117721513	0.0271636499626997	AIF1/ITGB2/TLR4/JAK2/IL1B/PTK2B	6	geneontology_Biological_Process	0.0107719928186715
GO:1901216	GO:1901216	positive regulation of neuron death	8/557	93/17913	0.00838149688434385	0.0366628117721513	0.0271636499626997	ITGAM/ITGB2/TYROBP/TLR4/C1QA/FCGR2B/CTSZ/FYN	8	geneontology_Biological_Process	0.0143626570915619
GO:0045862	GO:0045862	positive regulation of proteolysis	19/557	333/17913	0.00839332983572655	0.0366628117721513	0.0271636499626997	NLRC4/NLRP3/TREM2/CASP1/FAS/DAB2/CR1/CTSC/JAK2/IFI16/TNFRSF1B/NLRP1/IL1B/FYN/LCK/PYHIN1/PTK2B/AIM2/APOE	19	geneontology_Biological_Process	0.0341113105924596
GO:0002834	GO:0002834	regulation of response to tumor cell	3/557	14/17913	0.00842646020196154	0.0366628117721513	0.0271636499626997	HAVCR2/CD274/CRTAM	3	geneontology_Biological_Process	0.00538599640933573
GO:0002837	GO:0002837	regulation of immune response to tumor cell	3/557	14/17913	0.00842646020196154	0.0366628117721513	0.0271636499626997	HAVCR2/CD274/CRTAM	3	geneontology_Biological_Process	0.00538599640933573
GO:0006910	GO:0006910	phagocytosis, recognition	3/557	14/17913	0.00842646020196154	0.0366628117721513	0.0271636499626997	CLEC7A/COLEC12/FCN1	3	geneontology_Biological_Process	0.00538599640933573
GO:0010820	GO:0010820	positive regulation of T cell chemotaxis	3/557	14/17913	0.00842646020196154	0.0366628117721513	0.0271636499626997	CCR2/CCL5/CXCL13	3	geneontology_Biological_Process	0.00538599640933573
GO:0045651	GO:0045651	positive regulation of macrophage differentiation	3/557	14/17913	0.00842646020196154	0.0366628117721513	0.0271636499626997	CSF1/TGFB1/HCLS1	3	geneontology_Biological_Process	0.00538599640933573
GO:0045953	GO:0045953	negative regulation of natural killer cell mediated cytotoxicity	3/557	14/17913	0.00842646020196154	0.0366628117721513	0.0271636499626997	HAVCR2/HLA-E/SERPINB9	3	geneontology_Biological_Process	0.00538599640933573
GO:0046851	GO:0046851	negative regulation of bone remodeling	3/557	14/17913	0.00842646020196154	0.0366628117721513	0.0271636499626997	P2RX7/INPP5D/TNFAIP3	3	geneontology_Biological_Process	0.00538599640933573
GO:0050713	GO:0050713	negative regulation of interleukin-1 beta secretion	3/557	14/17913	0.00842646020196154	0.0366628117721513	0.0271636499626997	NLRP3/CARD16/TNFAIP3	3	geneontology_Biological_Process	0.00538599640933573
GO:0060099	GO:0060099	regulation of phagocytosis, engulfment	3/557	14/17913	0.00842646020196154	0.0366628117721513	0.0271636499626997	NCKAP1L/CD300A/STAP1	3	geneontology_Biological_Process	0.00538599640933573
GO:0031641	GO:0031641	regulation of myelination	5/557	41/17913	0.00849490544825115	0.036881211409056	0.0273254632825762	S100B/ITGAX/CTSC/TNFRSF1B/CST7	5	geneontology_Biological_Process	0.00897666068222621
GO:0048066	GO:0048066	developmental pigmentation	5/557	41/17913	0.00849490544825115	0.036881211409056	0.0273254632825762	MEF2C/ZEB2/MYO5A/MITF/RAB32	5	geneontology_Biological_Process	0.00897666068222621
GO:0031214	GO:0031214	biomineral tissue development	11/557	154/17913	0.00879432903984491	0.0381402124238767	0.0282582630656864	FGR/MEF2C/P2RX7/CCR1/GPNMB/TGFB1/SLC8A1/ADRB2/SNX10/SRGN/PTK2B	11	geneontology_Biological_Process	0.0197486535008977
GO:0007189	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	8/557	94/17913	0.00891954789892429	0.0386004417638672	0.0285992491518535	GPR65/GNAI2/GNG2/ABCA1/S1PR4/CXCL10/CXCL11/CXCL9	8	geneontology_Biological_Process	0.0143626570915619
GO:0060191	GO:0060191	regulation of lipase activity	8/557	94/17913	0.00891954789892429	0.0386004417638672	0.0285992491518535	RASGRP4/P2RY12/PTAFR/C5AR1/ITK/S1PR4/PLCB2/CCL5	8	geneontology_Biological_Process	0.0143626570915619
GO:1904062	GO:1904062	regulation of cation transmembrane transport	18/557	312/17913	0.00910536063589992	0.0393624253372272	0.0291638063711064	TREM2/CCR2/PIK3CG/STAC/MEF2C/STAC3/CTSS/KCNAB2/TGFB1/SLC8A1/ADRB2/MYO5A/CCL2/FYN/PTK2B/CXCL10/CXCL11/CXCL9	18	geneontology_Biological_Process	0.0323159784560144
GO:0035456	GO:0035456	response to interferon-beta	4/557	27/17913	0.00919515257302576	0.0396657488795839	0.0293885402126139	MNDA/IFI16/PYHIN1/AIM2	4	geneontology_Biological_Process	0.00718132854578097
GO:2000515	GO:2000515	negative regulation of CD4-positive, alpha-beta T cell activation	4/557	27/17913	0.00919515257302576	0.0396657488795839	0.0293885402126139	CD274/RUNX3/FOXP3/TBX21	4	geneontology_Biological_Process	0.00718132854578097
GO:0016311	GO:0016311	dephosphorylation	24/557	458/17913	0.00922552138510133	0.0397543256274835	0.0294541671424232	CD33/PTPRO/NCKAP1L/PLEK/PTPN22/PTPRC/MEF2C/GNAI2/PPM1M/SPRED1/ACP5/CD300A/DAPP1/LILRB2/TGFB1/INPP5D/PTPN7/JAK2/PALD1/LCK/PPP1R16B/PTPRJ/FCRL3/DUSP2	24	geneontology_Biological_Process	0.0430879712746858
GO:0002474	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	8/557	95/17913	0.00948297932337536	0.040820236874423	0.0302439058068527	CYBB/NCF2/NCF4/HLA-E/B2M/CD207/PSMB9/TAP1	8	geneontology_Biological_Process	0.0143626570915619
GO:2001056	GO:2001056	positive regulation of cysteine-type endopeptidase activity	10/557	135/17913	0.00957966562950505	0.0411925622068717	0.0305197633997109	NLRC4/NLRP3/CASP1/FAS/JAK2/IFI16/NLRP1/FYN/LCK/AIM2	10	geneontology_Biological_Process	0.0179533213644524
GO:0071347	GO:0071347	cellular response to interleukin-1	11/557	156/17913	0.00964039380596626	0.0414096405565522	0.0306805977716584	SIRPA/CD40/MYD88/MAP3K3/NOD2/CCL2/IL1B/GBP2/GBP1/PSMB9/CCL5	11	geneontology_Biological_Process	0.0197486535008977
GO:0048708	GO:0048708	astrocyte differentiation	7/557	77/17913	0.009966462191294	0.0427647984896076	0.0316846406684897	TREM2/TLR4/C1QA/S100B/C5AR1/IL1B/FPR2	7	geneontology_Biological_Process	0.0125673249551167
GO:0032535	GO:0032535	regulation of cellular component size	18/557	315/17913	0.00998641010267662	0.0428049518929151	0.0317143905141653	NCKAP1L/HCK/PLEK/TRPV2/ARHGAP18/WAS/LRRC8C/P2RX7/IL7R/VAV1/HCLS1/CAPG/PREX1/CCR7/IQGAP2/PTK2B/APOE/SEMA7A	18	geneontology_Biological_Process	0.0323159784560144
GO:0002693	GO:0002693	positive regulation of cellular extravasation	3/557	15/17913	0.0102929674554175	0.0437018639231066	0.0323789168627408	CCR2/PTAFR/ITGA4	3	geneontology_Biological_Process	0.00538599640933573
GO:0032736	GO:0032736	positive regulation of interleukin-13 production	3/557	15/17913	0.0102929674554175	0.0437018639231066	0.0323789168627408	NLRP3/HLA-E/IRF4	3	geneontology_Biological_Process	0.00538599640933573
GO:0034134	GO:0034134	toll-like receptor 2 signaling pathway	3/557	15/17913	0.0102929674554175	0.0437018639231066	0.0323789168627408	PIK3AP1/TLR1/TNFAIP3	3	geneontology_Biological_Process	0.00538599640933573
GO:0034616	GO:0034616	response to laminar fluid shear stress	3/557	15/17913	0.0102929674554175	0.0437018639231066	0.0323789168627408	TGFB1/ETS1/ABCA1	3	geneontology_Biological_Process	0.00538599640933573
GO:0045414	GO:0045414	regulation of interleukin-8 biosynthetic process	3/557	15/17913	0.0102929674554175	0.0437018639231066	0.0323789168627408	TLR7/TLR8/TLR4	3	geneontology_Biological_Process	0.00538599640933573
GO:0051044	GO:0051044	positive regulation of membrane protein ectodomain proteolysis	3/557	15/17913	0.0102929674554175	0.0437018639231066	0.0323789168627408	TNFRSF1B/IL1B/APOE	3	geneontology_Biological_Process	0.00538599640933573
GO:1900451	GO:1900451	positive regulation of glutamate receptor signaling pathway	3/557	15/17913	0.0102929674554175	0.0437018639231066	0.0323789168627408	CCR2/ADRB2/CCL2	3	geneontology_Biological_Process	0.00538599640933573
GO:1901741	GO:1901741	positive regulation of myoblast fusion	3/557	15/17913	0.0102929674554175	0.0437018639231066	0.0323789168627408	CD53/NFATC2/CXCL9	3	geneontology_Biological_Process	0.00538599640933573
GO:1905153	GO:1905153	regulation of membrane invagination	3/557	15/17913	0.0102929674554175	0.0437018639231066	0.0323789168627408	NCKAP1L/CD300A/STAP1	3	geneontology_Biological_Process	0.00538599640933573
GO:0043409	GO:0043409	negative regulation of MAPK cascade	12/557	179/17913	0.0103130368658282	0.0437411280290426	0.0324080078238043	PTPN22/TLR4/PTPRC/P2RX7/SIRPA/SPRED1/CD300A/BTN2A2/IL1B/GBP1/PTPRJ/APOE	12	geneontology_Biological_Process	0.0215439856373429
GO:0035304	GO:0035304	regulation of protein dephosphorylation	10/557	137/17913	0.0105630663599396	0.0447546270721967	0.0331589140395322	CD33/NCKAP1L/PTPRC/GNAI2/CD300A/LILRB2/TGFB1/JAK2/PPP1R16B/FCRL3	10	geneontology_Biological_Process	0.0179533213644524
GO:0051279	GO:0051279	regulation of release of sequestered calcium ion into cytosol	7/557	78/17913	0.0106645497554638	0.0451372880749577	0.0334424293792168	TGFB1/SLC8A1/MYO5A/PTK2B/CXCL10/CXCL11/CXCL9	7	geneontology_Biological_Process	0.0125673249551167
GO:0120162	GO:0120162	positive regulation of cold-induced thermogenesis	8/557	97/17913	0.0106887692435728	0.0451924741448967	0.0334833169984195	TRPV2/CCR2/CMKLR1/ADRB2/JAK2/SYK/CXCR4/IRF4	8	geneontology_Biological_Process	0.0143626570915619
GO:0010803	GO:0010803	regulation of tumor necrosis factor-mediated signaling pathway	6/557	61/17913	0.0115022396156068	0.0485810371225525	0.0359939192722889	CASP1/CARD16/TRAF1/SYK/TNFAIP3/BIRC3	6	geneontology_Biological_Process	0.0107719928186715
GO:0010575	GO:0010575	positive regulation of vascular endothelial growth factor production	4/557	29/17913	0.0118520803422183	0.0498502692437526	0.0369342993303149	C3AR1/C5AR1/TGFB1/IL1B	4	geneontology_Biological_Process	0.00718132854578097
GO:0035666	GO:0035666	TRIF-dependent toll-like receptor signaling pathway	4/557	29/17913	0.0118520803422183	0.0498502692437526	0.0369342993303149	CD300LF/TLR4/CD14/BIRC3	4	geneontology_Biological_Process	0.00718132854578097
GO:0048873	GO:0048873	homeostasis of number of cells within a tissue	4/557	29/17913	0.0118520803422183	0.0498502692437526	0.0369342993303149	CCR2/LIPA/P2RX7/CSF1	4	geneontology_Biological_Process	0.00718132854578097
GO:2000778	GO:2000778	positive regulation of interleukin-6 secretion	4/557	29/17913	0.0118520803422183	0.0498502692437526	0.0369342993303149	AIF1/TLR8/IL1B/LILRA5	4	geneontology_Biological_Process	0.00718132854578097
GO:0098552	GO:0098552	side of membrane	63/576	359/18678	8.51819160393835e-30	3.1091399354375e-27	2.41199320153623e-27	CD33/ITGAM/CD4/HCK/HLA-DRA/ITGB2/HLA-DPA1/HLA-DPB1/P2RY12/CD83/FOLR2/HLA-DRB1/TLR8/HLA-DQA1/CD74/PTPN22/TLR4/PTPRC/FCN1/STAC/P2RX7/CCR5/STAC3/CD163/CD28/CCR1/CD40/GNGT2/IL7R/GNG2/HLA-DQB1/CD14/ICOS/FCGR2B/KCNAB2/HLA-E/CD69/PTPN7/HLA-DQB2/B2M/IL2RA/KCNJ5/CD2/CD40LG/RASAL3/TNFRSF9/CD209/GM2A/CD244/CD3E/CD5/TIAM1/ABCA1/CTLA4/PTK2B/IL2RB/CXCL10/RGS1/PDCD1/SEMA7A/MS4A1/CD8A/CXCL9	63	geneontology_Cellular_Component	0.109375
GO:0009897	GO:0009897	external side of plasma membrane	42/576	199/18678	2.15985979142653e-23	3.94174411935342e-21	3.05790675733546e-21	CD33/ITGAM/CD4/ITGB2/P2RY12/CD83/FOLR2/TLR8/CD74/TLR4/PTPRC/FCN1/P2RX7/CCR5/CD163/CD28/CCR1/CD40/IL7R/CD14/ICOS/FCGR2B/CD69/B2M/IL2RA/KCNJ5/CD2/CD40LG/TNFRSF9/CD209/CD244/CD3E/CD5/ABCA1/CTLA4/IL2RB/CXCL10/PDCD1/SEMA7A/MS4A1/CD8A/CXCL9	42	geneontology_Cellular_Component	0.0729166666666667
GO:0030667	GO:0030667	secretory granule membrane	46/576	293/18678	6.19830187585882e-20	7.5412672822949e-18	5.85032703370535e-18	CD33/ITGAM/NCKAP1L/SIGLEC9/LAIR1/CYBB/C3AR1/ITGB2/OLR1/FCGR2A/CD53/TYROBP/FCER1G/ATP8B4/CLEC5A/PTPRC/NFAM1/PTAFR/GLIPR1/SIRPA/MCEMP1/LHFPL2/CD300A/ITGAX/CD14/CD44/STK10/CLEC12A/C5AR1/ITGAL/FPR1/SELL/KCNAB2/LILRB2/CR1/GPR84/DOK3/SIRPB1/TNFRSF1B/TBC1D10C/SLC11A1/LRMP/FPR2/IQGAP2/PTPRJ/BST1	46	geneontology_Cellular_Component	0.0798611111111111
GO:0070820	GO:0070820	tertiary granule	31/576	164/18678	3.83487029368695e-16	3.49931914298935e-14	2.71468449737313e-14	CD33/ITGAM/NCKAP1L/LAIR1/CYBB/ITGB2/OLR1/OSCAR/CD53/FCER1G/ATP8B4/CLEC5A/PTAFR/SIRPA/MCEMP1/CD300A/ITGAX/CLEC12A/LYZ/CTSS/FPR1/KCNAB2/LILRB2/CR1/GPR84/B2M/DOK3/CHIT1/TBC1D10C/SLC11A1/FPR2	31	geneontology_Cellular_Component	0.0538194444444444
GO:0070821	GO:0070821	tertiary granule membrane	21/576	73/18678	3.16632406950195e-15	2.31141657073643e-13	1.79313931514953e-13	CD33/ITGAM/LAIR1/CYBB/ITGB2/OLR1/CD53/FCER1G/ATP8B4/CLEC5A/PTAFR/SIRPA/MCEMP1/CD300A/ITGAX/CLEC12A/KCNAB2/LILRB2/GPR84/SLC11A1/FPR2	21	geneontology_Cellular_Component	0.0364583333333333
GO:0042611	GO:0042611	MHC protein complex	13/576	25/18678	7.39314073697614e-14	4.32479906025768e-12	3.3550712248286e-12	HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/CD74/HLA-DOA/HLA-DMA/HLA-DQB1/HLA-E/HLA-DQB2/B2M	13	geneontology_Cellular_Component	0.0225694444444444
GO:0042613	GO:0042613	MHC class II protein complex	11/576	16/18678	8.29413518405583e-14	4.32479906025768e-12	3.3550712248286e-12	HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/CD74/HLA-DOA/HLA-DMA/HLA-DQB1/HLA-DQB2	11	geneontology_Cellular_Component	0.0190972222222222
GO:0042101	GO:0042101	T cell receptor complex	11/576	17/18678	2.28485347982401e-13	1.0424644001697e-11	8.08717876411392e-12	CD4/APBB1IP/SYK/TRAT1/CD3G/CD247/CD3E/CD3D/CD6/ZAP70/CD8A	11	geneontology_Cellular_Component	0.0190972222222222
GO:0098797	GO:0098797	plasma membrane protein complex	47/576	451/18678	2.77975880869053e-13	1.12734662796894e-11	8.74567391272226e-12	ITGAM/CD4/CYBB/HLA-DRA/ITGB2/NCF2/HLA-DPA1/HLA-DPB1/HLA-DMB/NCF4/HLA-DRB1/HLA-DQA1/CD74/HLA-DOA/FAS/CSF2RB/STAC3/CD40/ITGAX/GNGT2/GNG2/HLA-DMA/HLA-DQB1/ITGA4/ITGAL/KCNAB2/IL12RB1/APBB1IP/HLA-E/TLR1/HLA-DQB2/B2M/IL2RA/KCNJ5/CORO1C/SYK/TRAT1/CD3G/CD247/CD3E/CD3D/CD6/PTK2B/IL2RB/BST1/ZAP70/CD8A	47	geneontology_Cellular_Component	0.0815972222222222
GO:0042581	GO:0042581	specific granule	27/576	160/18678	5.55287060499141e-13	2.02679777082186e-11	1.57233915025546e-11	CD33/ITGAM/LAIR1/CYBB/C3AR1/ITGB2/OLR1/OSCAR/CD53/DOCK2/ATP8B4/CLEC5A/MCEMP1/STK10/CLEC12A/LYZ/RETN/ITGAL/KCNAB2/GPR84/B2M/CTSZ/CHIT1/TNFRSF1B/FPR2/PTPRJ/BST1	27	geneontology_Cellular_Component	0.046875
GO:0035579	GO:0035579	specific granule membrane	20/576	91/18678	3.71019941775822e-12	1.23111162498341e-10	9.55065687442069e-11	CD33/ITGAM/LAIR1/CYBB/C3AR1/ITGB2/OLR1/CD53/ATP8B4/CLEC5A/MCEMP1/STK10/CLEC12A/ITGAL/KCNAB2/GPR84/TNFRSF1B/FPR2/PTPRJ/BST1	20	geneontology_Cellular_Component	0.0347222222222222
GO:0030666	GO:0030666	endocytic vesicle membrane	26/576	161/18678	4.26874465144311e-12	1.29840983148061e-10	1.00727395722649e-10	CYBB/HLA-DRA/MSR1/HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DQA1/CD74/COLEC12/MARCO/RAC2/CD163/HLA-DQB1/HLA-E/TLR1/HLA-DQB2/B2M/ATP6V0D2/SCARF1/RAB8B/CD207/RAB32/SLC11A1/STAB1/APOE/TAP1	26	geneontology_Cellular_Component	0.0451388888888889
GO:0043235	GO:0043235	receptor complex	35/576	292/18678	6.62641831326374e-12	1.86049437257021e-10	1.44332512248417e-10	ITGAM/CD4/ITGB2/OLR1/TLR7/CD74/TLR4/CSF2RB/CD200R1/CD40/ITGAX/CD14/CD44/ITGA4/ITGAL/IL12RB1/APBB1IP/GPR84/TLR1/ADRB2/B2M/IL2RA/TNFRSF1B/SYK/TRAT1/CD3G/CD247/CD3E/CD3D/CD6/PTK2B/IL2RB/BST1/ZAP70/CD8A	35	geneontology_Cellular_Component	0.0607638888888889
GO:0098802	GO:0098802	plasma membrane receptor complex	25/576	153/18678	8.47655444443944e-12	2.20995883730028e-10	1.71443093650692e-10	ITGAM/CD4/ITGB2/CSF2RB/CD40/ITGAX/ITGA4/ITGAL/IL12RB1/APBB1IP/TLR1/B2M/IL2RA/SYK/TRAT1/CD3G/CD247/CD3E/CD3D/CD6/PTK2B/IL2RB/BST1/ZAP70/CD8A	25	geneontology_Cellular_Component	0.0434027777777778
GO:0030139	GO:0030139	endocytic vesicle	34/576	289/18678	2.24361063487967e-11	5.45945254487387e-10	4.23530709321145e-10	CYBB/HLA-DRA/MSR1/NCF2/HLA-DPA1/HLA-DPB1/TLR7/NCF4/HLA-DRB1/HLA-DQA1/CD74/COLEC12/MPEG1/WAS/MARCO/RAC2/CD163/HLA-DQB1/HLA-E/TLR1/HLA-DQB2/B2M/ATP6V0D2/SCARF1/RAB8B/CD207/RAB32/SYK/SLC11A1/ABCA1/STAB1/CTLA4/APOE/TAP1	34	geneontology_Cellular_Component	0.0590277777777778
GO:0101002	GO:0101002	ficolin-1-rich granule	24/576	185/18678	2.89089719398057e-09	6.59485922376818e-08	5.11612727092614e-08	MNDA/NCKAP1L/ITGB2/ALOX5/FCER1G/PLEKHO2/GMFG/HK3/FGL2/FCN1/SIRPA/CD300A/ITGAX/CTSS/FPR1/LILRB2/CR1/CTSZ/DOK3/COTL1/CTSB/TBC1D10C/SLC11A1/FPR2	24	geneontology_Cellular_Component	0.0416666666666667
GO:0010008	GO:0010008	endosome membrane	40/576	464/18678	5.03579908207082e-09	1.08121568526815e-07	8.38780156704057e-08	MRC1/HLA-DRA/HLA-DPA1/HLA-DPB1/SNX20/HLA-DMB/TLR7/FGD2/NCF4/HLA-DRB1/TLR8/HLA-DQA1/TLR4/HLA-DOA/CD1C/HLA-DMA/HLA-DQB1/DCSTAMP/CD14/GPNMB/CD1B/SLC9A9/CD274/HLA-E/ADRB2/HLA-DQB2/CD1D/MCOLN2/TMEM150B/B2M/ATP6V0D2/CD1A/MYD88/RAB8B/CORO1C/SNX10/CD207/SLC11A1/ACAP1/SLA2	40	geneontology_Cellular_Component	0.0694444444444444
GO:0045121	GO:0045121	membrane raft	31/576	309/18678	8.64574620187155e-09	1.75316520204618e-07	1.36006182941722e-07	BTK/ITGAM/CD4/HCK/ITGB2/OLR1/LAT2/P2RY12/LCP2/SELPLG/FAS/PTPRC/GNAI2/SPRED1/CD14/INPP5D/TLR1/CD1A/JAK2/CD2/CORO1C/TNFRSF1B/FYN/ABCA1/LCK/PTK2B/HMOX1/ZAP70/BIRC3/MS4A1/CD8A	31	geneontology_Cellular_Component	0.0538194444444444
GO:0098857	GO:0098857	membrane microdomain	31/576	310/18678	9.33331652447127e-09	1.79297922706948e-07	1.39094855683256e-07	BTK/ITGAM/CD4/HCK/ITGB2/OLR1/LAT2/P2RY12/LCP2/SELPLG/FAS/PTPRC/GNAI2/SPRED1/CD14/INPP5D/TLR1/CD1A/JAK2/CD2/CORO1C/TNFRSF1B/FYN/ABCA1/LCK/PTK2B/HMOX1/ZAP70/BIRC3/MS4A1/CD8A	31	geneontology_Cellular_Component	0.0538194444444444
GO:0098589	GO:0098589	membrane region	31/576	321/18678	2.11636329997416e-08	3.86236302245283e-07	2.99632488259499e-07	BTK/ITGAM/CD4/HCK/ITGB2/OLR1/LAT2/P2RY12/LCP2/SELPLG/FAS/PTPRC/GNAI2/SPRED1/CD14/INPP5D/TLR1/CD1A/JAK2/CD2/CORO1C/TNFRSF1B/FYN/ABCA1/LCK/PTK2B/HMOX1/ZAP70/BIRC3/MS4A1/CD8A	31	geneontology_Cellular_Component	0.0538194444444444
GO:0101003	GO:0101003	ficolin-1-rich granule membrane	13/576	61/18678	3.36804818927199e-08	5.85398851944894e-07	4.54137826022138e-07	NCKAP1L/ITGB2/FCER1G/SIRPA/CD300A/ITGAX/FPR1/LILRB2/CR1/DOK3/TBC1D10C/SLC11A1/FPR2	13	geneontology_Cellular_Component	0.0225694444444444
GO:0001772	GO:0001772	immunological synapse	10/576	36/18678	8.87531042227704e-08	1.47249468369596e-06	1.14232464286724e-06	HAVCR2/CD53/CD37/CD28/CD3E/LCK/CD6/PTPRJ/ZAP70/GZMA	10	geneontology_Cellular_Component	0.0173611111111111
GO:0071556	GO:0071556	integral component of lumenal side of endoplasmic reticulum membrane	9/576	29/18678	1.36734096357042e-07	2.07949771543001e-06	1.61322245263352e-06	HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DQA1/CD74/HLA-DQB1/HLA-E/HLA-DQB2	9	geneontology_Cellular_Component	0.015625
GO:0098553	GO:0098553	lumenal side of endoplasmic reticulum membrane	9/576	29/18678	1.36734096357042e-07	2.07949771543001e-06	1.61322245263352e-06	HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DQA1/CD74/HLA-DQB1/HLA-E/HLA-DQB2	9	geneontology_Cellular_Component	0.015625
GO:0030665	GO:0030665	clathrin-coated vesicle membrane	16/576	110/18678	2.59835103447812e-07	3.7178328377636e-06	2.88420197075244e-06	CD4/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DQA1/CD74/DAB2/IL7R/HLA-DQB1/ADRB2/HLA-DQB2/CD207/CD3G/CD3D/APOE	16	geneontology_Cellular_Component	0.0277777777777778
GO:0030669	GO:0030669	clathrin-coated endocytic vesicle membrane	10/576	40/18678	2.64831928169462e-07	3.7178328377636e-06	2.88420197075244e-06	HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DQA1/CD74/HLA-DQB1/HLA-DQB2/CD207/APOE	10	geneontology_Cellular_Component	0.0173611111111111
GO:0045335	GO:0045335	phagocytic vesicle	17/576	128/18678	4.2017820086097e-07	5.68018678941681e-06	4.40654721370764e-06	CYBB/NCF2/TLR7/NCF4/MPEG1/WAS/RAC2/HLA-E/TLR1/B2M/ATP6V0D2/RAB8B/RAB32/SYK/SLC11A1/ABCA1/TAP1	17	geneontology_Cellular_Component	0.0295138888888889
GO:0098636	GO:0098636	protein complex involved in cell adhesion	9/576	33/18678	4.71583210683363e-07	6.14742399640813e-06	4.76901818322649e-06	ITGAM/CD80/ITGB2/CD28/ITGAX/ITGA4/ITGAL/CTLA4/BST1	9	geneontology_Cellular_Component	0.015625
GO:0030134	GO:0030134	COPII-coated ER to Golgi transport vesicle	12/576	69/18678	1.16997747649382e-06	1.47255785834568e-05	1.14237365218453e-05	HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DQA1/CD74/HLA-DQB1/HLA-E/HLA-DQB2/B2M/CTSZ/CTSC	12	geneontology_Cellular_Component	0.0208333333333333
GO:0045334	GO:0045334	clathrin-coated endocytic vesicle	11/576	59/18678	1.59314210635097e-06	1.93832289606034e-05	1.50370254950319e-05	HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DQA1/CD74/HLA-DQB1/HLA-DQB2/CD207/CTLA4/APOE	11	geneontology_Cellular_Component	0.0190972222222222
GO:0042629	GO:0042629	mast cell granule	7/576	22/18678	2.91408565500037e-06	3.43110085185528e-05	2.6617624488798e-05	BTK/LAT2/PIK3CG/MILR1/PIK3CD/SRGN/RASGRP1	7	geneontology_Cellular_Component	0.0121527777777778
GO:0031252	GO:0031252	cell leading edge	30/576	384/18678	3.3192167381593e-06	3.78598159196295e-05	2.93707007422649e-05	PTPRO/AIF1/FGD2/PLEK/FGR/ARHGEF6/LCP1/DOCK8/ABI3/RAC2/S100B/SAMSN1/CD44/MYO1G/ATP6V1B2/APBB1IP/WIPF1/PSTPIP1/CAPG/MYO5A/FGD3/CORO1C/RASGRP2/PLEKHO1/TIAM1/IQGAP2/CXCR4/PTPRJ/PTK2B/EPB41L3	30	geneontology_Cellular_Component	0.0520833333333333
GO:0030662	GO:0030662	coated vesicle membrane	18/576	169/18678	5.01627871627127e-06	5.54830827708792e-05	4.30423915367455e-05	CD4/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DQA1/CD74/DAB2/IL7R/HLA-DQB1/HLA-E/ADRB2/HLA-DQB2/B2M/CD207/CD3G/CD3D/APOE	18	geneontology_Cellular_Component	0.03125
GO:0012507	GO:0012507	ER to Golgi transport vesicle membrane	10/576	55/18678	6.02817476020942e-06	6.47142290434247e-05	5.02036845354902e-05	HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DQA1/CD74/HLA-DQB1/HLA-E/HLA-DQB2/B2M	10	geneontology_Cellular_Component	0.0173611111111111
